game_name,penalty_number,start_video_clock_seconds,end_video_clock_seconds,start_period,end_period,start_game_clock_seconds,end_game_clock_seconds
2022-02-08 Canada at USA,1,1278,1314,1,1,386,350
2022-02-08 Canada at USA,2,1624,1744,1,1,216,96
2022-02-08 Canada at USA,3,409,562,2,2,991,871
2022-02-08 Canada at USA,4,898,898,2,2,613,613
2022-02-08 Canada at USA,5,1690,1927,2,2,272,152
2022-02-08 Canada at USA,6,1081,1146,3,3,545,480
2022-02-08 Canada at USA,7,1837,1957,3,3,157,37
2022-02-08 ROC at Finland,1,1671,1740,1,1,192,123
2022-02-08 ROC at Finland,2,222,260,2,2,1059,1021
2022-02-08 ROC at Finland,3,436,440,2,2,905,901
2022-02-08 ROC at Finland,4,946,980,2,2,597,563
2022-02-08 ROC at Finland,5,1707,1827,2,2,458,338
2022-02-08 ROC at Finland,6,418,534,3,3,880,764
2022-02-12 Switzerland at ROC,1,563,682,1,1,748,629
2022-02-12 Switzerland at ROC,2,960,1106,1,1,492,372
2022-02-12 Switzerland at ROC,3,1047,1227,3,3,744,624
2022-02-12 Switzerland at ROC,4,1375,1375,3,3,496,496
2022-02-12 Switzerland at ROC,5,2250,2320,3,3,107,37
2022-02-14 Switzerland at Canada,1,1816,2035,1,1,312,192
2022-02-14 Switzerland at Canada,2,2115,2204,1,1,172,83
2022-02-14 Switzerland at Canada,3,953,1015,2,2,678,616
2022-02-14 Switzerland at Canada,4,1621,1792,2,2,209,89
2022-02-14 Switzerland at Canada,5,721,841,3,3,677,557
2022-02-14 USA at Finland,1,255,363,2,2,1068,981
2022-02-14 USA at Finland,2,586,586,2,2,861,861
2022-02-14 USA at Finland,3,729,839,2,2,815,741
2022-02-14 USA at Finland,4,177,298,3,3,1171,1051
2022-02-14 USA at Finland,5,1617,1765,3,3,238,118
2022-02-14 USA at Finland,6,2008,2024,3,3,21,5
2022-02-16 Switzerland at Finland,1,816,958,1,1,658,538
2022-02-16 Switzerland at Finland,2,1209,1352,1,1,417,297
2022-02-16 Switzerland at Finland,3,1784,67,1,2,67,1146
2022-02-16 Switzerland at Finland,4,981,1146,2,2,594,474
2022-02-16 Switzerland at Finland,5,1564,1731,2,2,229,109
2022-02-16 Switzerland at Finland,6,223,397,3,3,1028,908
2022-02-16 Switzerland at Finland,7,1322,1364,3,3,378,336
2022-02-16 Switzerland at Finland,8,1759,1895,3,3,171,57